branch,client_id,region,first_purchase,orders_count,payment_sum
SO,20,Астраханская область,2015-10-01,19,690206.78
SO,21,Ростовская область,2011-27-02,19,390783.08
SO,22,Астраханская область,2013-01-03,8,46725.58
UR,17,Ямало-Ненецкий автономный округ,2013-26-06,1,14794.64
NK,12,Чеченская Республика,2016-28-06,5,219191.59
SB,9,Красноярский край,2011-17-10,14,142313.19
SO,23,Республика Адыгея,2013-20-06,24,119310.36
NK,13,Кабардино-Балкарская Республика,2011-09-10,10,383170.81
FE,13,Приморский край,2012-19-05,10,128913.28
SB,10,Томская область,2011-09-11,6,119649.26
UR,18,Челябинская область,2010-05-09,7,239332.53
SB,11,Новосибирская область,2014-04-05,3,25597.01
NW,12,Вологодская область,2012-02-09,15,322592.93
SO,24,Республика Адыгея,2011-08-02,4,129863.54
FE,14,Хабаровский край,2011-09-01,11,122652.32
SO,25,Астраханская область,2015-04-02,12,40066.55
SB,12,Республика Алтай,2013-02-02,32,994190.73
NK,14,Кабардино-Балкарская Республика,2014-03-08,7,200289.26
FE,15,Чукотский автономный округ,2010-24-01,11,135367.53
VG,21,Оренбургская область,2013-14-01,18,637862.05
UR,19,Челябинская область,2012-26-05,25,497527.92
VG,22,Саратовская область,2014-07-03,2,12954.60
SB,13,Республика Бурятия,2016-14-02,34,230897.57
UR,20,Курганская область,2011-29-12,1,3921.68
NW,13,Республика Карелия,2010-24-06,0,0.00
UR,21,Ханты-Мансийский автономный округ,2015-23-02,14,250005.71
SB,14,Красноярский край,2015-24-12,8,129792.98
VG,23,Республика Мордовия,2014-12-09,6,154210.37
SB,15,Республика Тыва,2015-19-07,16,413683.84
NW,14,Мурманская область,2014-16-05,8,4927.82
FE,16,Хабаровский край,2015-22-03,16,27193.40
NK,15,Карачаево-Черкесская Республика,2010-02-08,11,125492.44
UR,22,Ханты-Мансийский автономный округ,2014-03-07,15,371197.54
NW,15,Ненецкий автономный округ,2012-06-07,20,397357.00
VG,24,Республика Татарстан,2015-01-05,16,5550.73
SB,16,Омская область,2013-06-10,10,43590.80
VG,25,Нижегородская область,2011-29-05,19,87818.42
NW,16,Мурманская область,2012-14-07,4,1532.80
SO,26,Ростовская область,2014-13-10,25,186392.17
NW,17,Ленинградская область,2011-03-01,12,202978.80
SB,17,Республика Алтай,2014-24-02,27,377086.52
SB,18,Кемеровская область,2012-03-06,14,454361.79
UR,23,Курганская область,2015-24-02,5,35475.67
NW,18,Архангельская область,2014-14-08,4,56247.85
SO,27,Севастополь,2015-19-03,12,6171.09
FE,17,Республика Саха (Якутия),2015-25-01,18,446920.88
UR,24,Ямало-Ненецкий автономный округ,2010-26-04,18,517150.56
SB,19,Иркутская область,2016-04-05,4,28780.90
VG,26,Оренбургская область,2014-15-02,17,25246.76
SB,20,Республика Тыва,2016-05-03,8,140803.27
NW,19,Ненецкий автономный округ,2015-01-04,2,46587.02
FE,18,Республика Саха (Якутия),2014-08-04,7,314707.06
FE,19,Магаданская область,2014-25-11,32,158178.13
NK,16,Чеченская Республика,2013-20-03,5,84897.63
FE,20,Камчатский край,2010-07-02,12,354782.16
VG,27,Пензенская область,2012-26-10,8,294182.71
NW,20,Калининградская область,2011-26-01,8,272067.04
VG,28,Республика Башкортостан,2011-19-09,17,62984.88
SB,21,Кемеровская область,2014-08-09,35,771028.89
CE,12,Курская область,2012-17-02,14,125741.00
CE,13,Брянская область,2016-29-03,2,64381.09
SO,28,Республика Крым,2012-20-01,13,199372.17
CE,14,Липецкая область,2011-29-12,22,707687.50
CE,15,Смоленская область,2014-04-07,11,98098.84
FE,21,Чукотский автономный округ,2012-20-08,17,552690.12
FE,22,Приморский край,2013-24-05,6,82197.85
UR,25,Челябинская область,2010-26-11,11,327094.92
NW,21,Санкт-Петербург,2013-09-04,1,28481.77
CE,16,Воронежская область,2011-25-07,4,119661.81
SB,22,Республика Тыва,2014-01-04,0,0.00
NW,22,Республика Коми,2016-12-02,14,208926.82
CE,17,Калужская область,2015-12-01,7,273449.30
VG,29,Нижегородская область,2010-07-03,23,303483.40
CE,18,Тверская область,2015-16-06,13,67883.87
NK,17,Чеченская Республика,2012-26-03,16,818570.06
SO,29,Севастополь,2013-07-07,1,18314.29
NK,18,Ставропольский край,2011-02-08,2,74585.06
SB,23,Новосибирская область,2014-24-02,5,107113.77
SB,24,Республика Бурятия,2015-09-10,11,63081.46
VG,30,Нижегородская область,2013-03-09,26,112103.20
SO,30,Ростовская область,2014-12-02,4,85505.06
NK,19,Республика Ингушетия,2013-12-09,1,1505.49
CE,19,Курская область,2015-09-12,21,454193.73
SB,25,Томская область,2014-13-09,19,527767.26
NK,20,Ставропольский край,2015-02-01,7,107826.46
NW,23,Мурманская область,2013-21-08,5,228121.68
SB,26,Алтайский край,2012-12-08,18,359727.20
CE,20,Калужская область,2010-04-08,11,95132.93
NW,24,Новгородская область,2013-05-04,30,621556.53
NW,25,Новгородская область,2011-14-03,13,517754.38
CE,21,Белгородская область,2010-21-05,8,56727.81
VG,31,Республика Мордовия,2014-02-02,22,478661.26
SB,27,Томская область,2012-27-02,2,3161.08
CE,22,Ярославская область,2011-20-01,11,371267.71
SO,31,Астраханская область,2014-04-05,1,14374.28
VG,32,Кировская область,2011-29-04,4,43646.60
NK,21,Ставропольский край,2015-18-03,1,21326.16
CE,23,Ивановская область,2010-13-11,7,54206.65
FE,23,Сахалинская область,2014-27-12,4,45651.83
NK,22,Кабардино-Балкарская Республика,2015-19-07,1,12019.00
FE,24,Республика Саха (Якутия),2014-11-05,10,139112.44
UR,26,Свердловская область,2012-14-01,19,500108.05
NK,23,Чеченская Республика,2011-23-04,3,108859.81
NK,24,Чеченская Республика,2011-29-12,11,387164.36
VG,33,Республика Мордовия,2010-08-01,6,110689.56
UR,27,Челябинская область,2011-11-09,12,53870.14
SB,28,Омская область,2011-23-04,9,103240.15
CE,24,Рязанская область,2015-08-01,12,203128.19
SB,29,Республика Алтай,2015-01-07,10,98902.40
FE,25,Приморский край,2012-26-09,4,47897.41
FE,26,Амурская область,2012-16-03,25,37504.38
NW,26,Республика Коми,2011-14-02,4,1229.30
SB,30,Республика Бурятия,2016-30-01,8,168407.40
NW,27,Архангельская область,2012-15-03,9,5755.51
VG,34,Удмуртская Республика,2012-06-06,7,126719.20
SO,32,Республика Калмыкия,2011-12-05,3,8172.76
UR,28,Курганская область,2014-26-02,7,178759.00
VG,35,Саратовская область,2014-09-05,10,72837.92
SO,33,Республика Калмыкия,2012-24-11,4,143924.60
UR,29,Тюменская область,2012-26-10,12,21748.65
NW,28,Мурманская область,2015-08-11,7,125133.70
SB,31,Томская область,2013-25-04,6,63159.12
NW,29,Санкт-Петербург,2014-25-10,0,0.00
UR,30,Свердловская область,2013-28-06,13,124458.87
CE,25,Брянская область,2012-01-02,1,5679.39
VG,36,Республика Башкортостан,2014-25-05,26,536623.17
SB,32,Иркутская область,2014-19-06,5,122812.22
SB,33,Республика Алтай,2011-05-09,1,40648.28
VG,37,Оренбургская область,2016-04-03,7,331743.95
CE,26,Тульская область,2015-18-03,22,334975.97
SB,34,Красноярский край,2012-21-03,12,83542.35
SO,34,Астраханская область,2012-19-09,1,4570.31
CE,27,Орловская область,2016-14-07,12,233392.06
CE,28,Брянская область,2010-04-09,6,79079.46
UR,31,Курганская область,2010-11-12,6,168028.81
NK,25,Республика Северная Осетия,2011-22-09,8,308428.46
FE,27,Амурская область,2012-04-03,12,107498.63
SB,35,Республика Тыва,2011-12-07,5,65024.90
SO,35,Волгоградская область,2011-29-01,3,2559.18
VG,38,Чувашская Республика,2012-25-06,9,81806.45
NK,26,Республика Северная Осетия,2015-30-10,26,726194.73
NW,30,Псковская область,2011-26-05,4,29314.30
NK,27,Республика Северная Осетия,2014-30-05,2,53251.83
FE,28,Камчатский край,2011-05-07,13,123857.62
NW,31,Санкт-Петербург,2012-30-11,7,123449.42
UR,32,Челябинская область,2013-15-05,16,219424.29
VG,39,Республика Башкортостан,2012-19-03,4,69254.38
FE,29,Амурская область,2016-06-03,25,89582.96
NK,28,Республика Ингушетия,2013-24-07,11,331615.68
SO,36,Ростовская область,2014-12-08,24,504482.61
FE,30,Сахалинская область,2010-20-11,11,300342.53
NW,32,Республика Коми,2010-17-07,10,178714.33
SB,36,Томская область,2010-29-07,3,18131.96
CE,29,Курская область,2015-02-12,13,245678.10
FE,31,Чукотский автономный округ,2010-01-09,9,333417.93
FE,32,Еврейская автономная область,2014-15-03,15,245473.36
NK,29,Карачаево-Черкесская Республика,2014-13-10,15,68746.96
VG,40,Кировская область,2015-23-12,18,600547.22
VG,41,Республика Марий Эл,2015-17-04,7,82885.47
FE,33,Чукотский автономный округ,2010-01-02,5,115352.25
NW,33,Ненецкий автономный округ,2016-02-06,2,29415.58
NK,30,Республика Северная Осетия,2015-23-12,13,228406.30
SO,37,Республика Крым,2014-30-09,17,399770.21
SB,37,Красноярский край,2011-02-09,21,413213.03
UR,33,Челябинская область,2015-02-02,12,290265.73
SO,38,Республика Крым,2011-26-09,16,78137.49
VG,42,Самарская область,2013-03-02,4,101115.34
SB,38,Забайкальский край,2012-11-01,8,154485.46
CE,30,Московская область,2011-14-01,4,58283.07
SB,39,Омская область,2015-07-05,9,178716.12
UR,34,Ханты-Мансийский автономный округ,2010-12-04,32,271413.60
SO,39,Ростовская область,2013-01-08,4,145791.22
NK,31,Чеченская Республика,2010-20-10,12,330891.27
CE,31,Рязанская область,2012-19-01,13,282541.11
CE,32,Орловская область,2016-09-06,20,564833.21
FE,34,Еврейская автономная область,2014-27-07,11,209215.39
NK,32,Республика Ингушетия,2010-15-07,20,272494.51
CE,33,Тульская область,2013-06-09,22,255185.73
SO,40,Астраханская область,2012-18-01,26,295158.94
UR,35,Свердловская область,2016-05-02,2,26837.28
NK,33,Ставропольский край,2015-13-05,12,425084.19
SO,41,Республика Крым,2013-06-06,7,66358.18
UR,36,Ханты-Мансийский автономный округ,2015-25-12,4,80180.84
VG,43,Оренбургская область,2010-26-08,10,38669.11
VG,44,Республика Марий Эл,2012-12-08,4,60330.30
UR,37,Курганская область,2011-18-04,12,392374.03
VG,45,Республика Башкортостан,2012-09-05,11,281461.42
SO,42,Севастополь,2013-15-08,22,1014220.52
UR,38,Тюменская область,2010-16-07,7,100109.43
UR,39,Ямало-Ненецкий автономный округ,2012-23-05,17,822411.85
FE,35,Магаданская область,2012-10-12,2,1898.34
NK,34,Республика Северная Осетия,2013-24-10,21,174462.46
CE,34,Смоленская область,2011-25-04,5,23623.64
SO,43,Краснодарский край,2014-23-02,11,237033.61
SO,44,Ростовская область,2014-20-09,5,124731.51
UR,40,Тюменская область,2016-11-07,1,3262.15
VG,46,Ульяновская область,2014-07-12,10,277373.82
NK,35,Чеченская Республика,2011-11-04,7,19181.14
FE,36,Амурская область,2015-23-04,3,77068.17
SB,40,Забайкальский край,2013-16-08,18,73267.55
NW,34,Санкт-Петербург,2016-08-05,4,28163.81
SO,45,Севастополь,2013-01-07,5,22803.53
SB,41,Республика Алтай,2015-11-05,9,161039.24
NK,36,Чеченская Республика,2011-30-05,19,308923.30
UR,41,Тюменская область,2015-20-07,11,4435.09
NK,37,Карачаево-Черкесская Республика,2013-17-08,21,259891.63
VG,47,Оренбургская область,2016-14-04,17,397901.23
SO,46,Волгоградская область,2013-25-10,0,0.00
UR,42,Ханты-Мансийский автономный округ,2010-25-12,6,47570.18
VG,48,Республика Башкортостан,2010-09-07,14,152249.91
NK,38,Республика Ингушетия,2013-23-03,3,51836.39
SO,47,Волгоградская область,2015-01-10,26,900393.36
FE,37,Еврейская автономная область,2014-09-03,4,61803.92
SB,42,Республика Бурятия,2011-14-09,17,29350.30
SO,48,Астраханская область,2010-06-10,5,95628.17
FE,38,Приморский край,2015-11-06,3,32098.76
SB,43,Забайкальский край,2011-18-09,11,365724.22
NK,39,Республика Северная Осетия,2014-23-06,15,389883.33
SO,49,Краснодарский край,2015-19-04,5,126145.30
UR,43,Курганская область,2014-06-01,7,174431.48
FE,39,Чукотский автономный округ,2015-20-04,15,269145.59
UR,44,Свердловская область,2015-28-09,4,142607.89
NK,40,Карачаево-Черкесская Республика,2013-20-09,14,137080.61
NK,41,Кабардино-Балкарская Республика,2016-06-02,15,97471.65
SB,44,Республика Тыва,2013-04-07,18,243506.95
UR,45,Ханты-Мансийский автономный округ,2012-08-06,17,52193.07
CE,35,Тульская область,2013-14-04,15,294100.30
FE,40,Сахалинская область,2012-12-09,6,37286.38
NW,35,Санкт-Петербург,2016-22-01,20,132890.91
VG,49,Пензенская область,2010-12-07,4,60476.59
CE,36,Калужская область,2010-22-06,14,302871.79
NK,42,Республика Дагестан,2010-21-02,5,14864.63
NK,43,Кабардино-Балкарская Республика,2011-21-10,1,20001.26
NK,44,Карачаево-Черкесская Республика,2013-19-09,10,47184.38
NW,36,Калининградская область,2010-19-07,17,370648.73
SB,45,Красноярский край,2010-31-07,14,165798.10
SO,50,Республика Крым,2016-17-02,6,170268.90
FE,41,Сахалинская область,2014-12-01,11,119562.90
SB,46,Томская область,2013-20-06,20,243152.62
UR,46,Свердловская область,2011-17-04,9,86429.37
NW,37,Архангельская область,2012-11-03,1,26199.78
CE,37,Владимирская область,2014-07-12,1,12258.68
NW,38,Республика Коми,2015-05-06,6,17876.99
UR,47,Курганская область,2014-17-01,32,1537851.95
SB,47,Кемеровская область,2011-14-01,12,155389.78
UR,48,Ямало-Ненецкий автономный округ,2014-23-08,1,12074.37
VG,50,Саратовская область,2014-18-06,11,262251.65
NW,39,Мурманская область,2012-01-02,5,167992.72
UR,49,Челябинская область,2015-24-09,3,48723.51
CE,38,Калужская область,2012-20-12,16,141258.59
CE,39,Курская область,2011-30-01,17,287099.57
SB,48,Омская область,2014-17-05,10,272095.73
UR,50,Ямало-Ненецкий автономный округ,2010-05-02,3,48316.81
CE,40,Брянская область,2013-07-03,17,322432.95
VG,51,Самарская область,2013-06-10,18,130731.61
FE,42,Хабаровский край,2012-14-09,14,3783.27
UR,51,Курганская область,2014-01-11,4,60484.56
FE,43,Магаданская область,2011-09-08,3,14734.29
CE,41,Владимирская область,2014-02-09,13,274973.41
UR,52,Ханты-Мансийский автономный округ,2014-26-06,21,412218.56
FE,44,Сахалинская область,2011-16-04,4,149125.60
VG,52,Республика Татарстан,2012-22-07,20,467027.02
CE,42,Ярославская область,2014-29-05,26,162988.76
VG,53,Кировская область,2015-08-03,13,53181.27
NW,40,Псковская область,2014-13-01,4,85391.77
SO,51,Ростовская область,2011-14-04,12,31999.49
UR,53,Курганская область,2015-11-01,2,15454.71
VG,54,Республика Башкортостан,2011-12-11,3,30920.19
VG,55,Пензенская область,2012-22-06,9,57974.91
FE,45,Чукотский автономный округ,2015-24-03,15,167530.59
SB,49,Кемеровская область,2011-24-12,16,418771.18
NK,45,Республика Северная Осетия,2011-10-06,6,183432.37
FE,46,Приморский край,2011-21-03,5,65398.69
VG,56,Чувашская Республика,2016-17-05,16,57719.93
CE,43,Орловская область,2010-12-04,0,0.00
NK,46,Чеченская Республика,2016-12-06,14,55870.26
FE,47,Приморский край,2010-19-11,33,647761.98
VG,57,Пензенская область,2011-06-12,11,128332.30
NW,41,Ненецкий автономный округ,2010-04-02,24,38303.33
NW,42,Мурманская область,2012-13-01,15,593500.88
SB,50,Омская область,2011-16-06,36,458533.58
SB,51,Кемеровская область,2011-15-04,13,150753.53
SB,52,Омская область,2012-04-04,1,17787.70
FE,48,Чукотский автономный округ,2011-27-01,5,179628.78
SB,53,Омская область,2013-20-07,12,379261.79
FE,49,Еврейская автономная область,2014-10-04,5,33001.54
SB,54,Иркутская область,2014-28-01,11,125453.78
SO,52,Волгоградская область,2014-11-05,0,0.00
SO,53,Астраханская область,2016-08-05,1,2715.27
NK,47,Кабардино-Балкарская Республика,2013-11-05,9,10832.27
VG,58,Республика Татарстан,2014-10-01,21,54135.61
SO,54,Севастополь,2013-11-06,6,20224.88
UR,54,Челябинская область,2011-27-10,14,70857.64
SO,55,Республика Адыгея,2014-13-01,23,496395.03
NK,48,Республика Ингушетия,2015-02-12,9,84607.82
SO,56,Республика Калмыкия,2015-16-02,13,120490.77
FE,50,Приморский край,2016-26-01,1,19629.15
NW,43,Калининградская область,2015-15-12,12,25918.86
VG,59,Саратовская область,2013-31-03,12,15864.87
SO,57,Астраханская область,2011-14-04,7,26336.85
NK,49,Республика Дагестан,2013-01-04,13,376799.45
CE,44,Тульская область,2016-19-04,20,122975.21
FE,51,Чукотский автономный округ,2016-08-03,17,218201.92
VG,60,Республика Мордовия,2015-15-12,1,13056.51
CE,45,Тульская область,2014-17-03,5,212478.79
NK,50,Республика Дагестан,2012-18-12,8,32683.35
CE,46,Воронежская область,2010-09-07,4,100756.96
CE,47,Рязанская область,2012-29-08,19,46941.30
NW,44,Вологодская область,2012-14-10,4,22133.92
CE,48,Орловская область,2013-21-02,4,219171.43
FE,52,Магаданская область,2010-18-10,9,288557.36
CE,49,Тульская область,2016-23-06,17,46070.64
SB,55,Омская область,2010-11-09,11,73042.04
CE,50,Московская область,2012-29-04,10,141245.60
SB,56,Новосибирская область,2010-25-10,11,54910.68
VG,61,Республика Татарстан,2010-04-02,17,413809.48
NK,51,Кабардино-Балкарская Республика,2010-14-04,7,53822.03
UR,55,Ямало-Ненецкий автономный округ,2010-07-01,19,391130.51
UR,56,Ханты-Мансийский автономный округ,2012-25-02,23,604786.11
UR,57,Курганская область,2012-21-08,26,111697.02
CE,51,Курская область,2011-01-11,3,86307.63
SB,57,Республика Бурятия,2015-27-09,16,84531.38
CE,52,Курская область,2015-06-11,2,20410.26
FE,53,Амурская область,2010-12-02,21,557202.48
FE,54,Приморский край,2016-14-06,16,364283.95
UR,58,Курганская область,2013-26-05,11,36009.56
FE,55,Амурская область,2010-01-02,1,7078.88
SO,58,Республика Адыгея,2012-11-11,31,563752.54
SB,58,Новосибирская область,2014-19-10,8,143614.96
UR,59,Челябинская область,2015-08-03,6,307251.88
SB,59,Забайкальский край,2015-22-03,18,434925.23
NK,52,Ставропольский край,2015-15-05,10,25164.58
CE,53,Белгородская область,2014-18-12,4,32292.90
SB,60,Новосибирская область,2014-16-03,2,67766.15
SB,61,Иркутская область,2016-24-02,16,326467.35
SO,59,Ростовская область,2015-08-10,12,209042.97
NK,53,Кабардино-Балкарская Республика,2014-29-10,15,266657.07
VG,62,Оренбургская область,2014-18-08,11,235856.64
NK,54,Чеченская Республика,2011-16-04,5,75572.25
NW,45,Калининградская область,2013-16-01,4,90975.00
SB,62,Новосибирская область,2016-01-06,6,150893.48
VG,63,Нижегородская область,2013-04-07,12,94346.15
VG,64,Республика Башкортостан,2010-16-09,4,48700.37
NK,55,Кабардино-Балкарская Республика,2010-16-10,12,131581.15
VG,65,Республика Мордовия,2011-27-06,9,131814.11
NW,46,Новгородская область,2011-17-03,10,103163.27
NK,56,Чеченская Республика,2013-03-12,21,1040119.49
NW,47,Республика Карелия,2013-09-08,13,138154.74
SB,63,Республика Бурятия,2014-17-08,28,615292.13
VG,66,Ульяновская область,2015-25-02,9,147866.74
FE,56,Камчатский край,2015-22-03,11,302234.58
SB,64,Кемеровская область,2011-05-06,8,18507.50
SO,60,Ростовская область,2011-13-10,23,787395.70
SO,61,Севастополь,2010-18-03,7,18527.85
VG,67,Пензенская область,2013-22-03,4,57432.20
CE,54,Рязанская область,2012-25-05,18,113624.14
VG,68,Нижегородская область,2013-06-02,11,123883.56
SO,62,Республика Адыгея,2010-13-07,1,8589.55
VG,69,Республика Мордовия,2015-02-03,16,147967.57
NK,57,Республика Дагестан,2011-14-07,13,23501.03
FE,57,Амурская область,2014-27-03,4,18868.42
CE,55,Смоленская область,2011-14-01,5,98036.64
NK,58,Республика Ингушетия,2012-07-10,10,162486.98
NK,59,Республика Дагестан,2012-09-02,4,42170.54
UR,60,Ямало-Ненецкий автономный округ,2016-20-01,22,446739.33
CE,56,Липецкая область,2014-06-09,4,52996.78
SB,65,Республика Бурятия,2012-10-12,11,185653.45
NW,48,Ненецкий автономный округ,2012-04-04,13,354862.50
FE,58,Камчатский край,2014-07-08,17,168442.49
VG,70,Республика Татарстан,2014-14-09,22,78245.03
NW,49,Ленинградская область,2012-14-07,7,96111.60
CE,57,Белгородская область,2010-16-02,5,68204.00
UR,61,Ямало-Ненецкий автономный округ,2011-09-07,17,104241.82
FE,59,Сахалинская область,2012-20-09,1,5995.00
SB,66,Республика Тыва,2016-18-03,17,107176.64
FE,60,Амурская область,2014-01-11,12,97653.69
NW,50,Архангельская область,2015-29-10,22,337467.23
NW,51,Вологодская область,2010-05-06,11,33213.20
NW,52,Калининградская область,2011-21-07,24,431714.84
NK,60,Кабардино-Балкарская Республика,2010-13-08,12,171297.92
NK,61,Ставропольский край,2015-31-03,9,30936.74
FE,61,Хабаровский край,2013-27-12,15,347046.14
CE,58,Курская область,2010-06-10,5,34276.78
FE,62,Хабаровский край,2011-14-11,12,228538.38
UR,62,Ханты-Мансийский автономный округ,2012-24-06,3,43331.50
NK,62,Республика Северная Осетия,2015-14-12,3,101966.55
VG,71,Ульяновская область,2016-26-05,23,430938.18
SO,63,Ростовская область,2013-14-12,2,53230.53
SO,64,Краснодарский край,2014-18-08,9,284575.75
NW,53,Республика Коми,2014-15-04,1,14457.10
UR,63,Тюменская область,2012-23-06,11,196227.71
VG,72,Пермский край,2012-25-07,18,515541.59
FE,63,Магаданская область,2010-17-04,5,5035.23
NK,63,Ставропольский край,2015-25-01,32,332076.44
